指标,数值,备注
标的代码,NVDA,
回测周期,2020-11-13 ~ 2026-06-05,
数据源,yahoo_chart,
K线数量,1615,
策略总收益%,109.73,期末策略权益相对初始资金的收益。
买入持有总收益%,1449.14,从回测起点全仓买入并持有到最后的收益，用作基准。
策略年化收益%,14.26,把策略总收益折算成年化结果。
买入持有年化收益%,63.73,买入持有基准的年化结果。
策略最大回撤%,-11.35,策略权益从阶段高点到之后低点的最大跌幅。
买入持有最大回撤%,-66.34,买入持有基准的最大回撤。
年化波动%,12.91,日收益波动率年化，越高说明净值波动越大。
夏普比率(无风险利率0),1.099,收益相对波动的比值；这里暂按无风险利率为0计算。
交易次数,254,回测期间实际执行的买入和卖出总次数。
买入次数,126,执行买入的次数。
卖出次数,128,执行卖出的次数。
已实现胜率%,73.44,只按卖出时已实现盈亏统计，未卖出的浮盈浮亏不计入。
盈亏因子,6.247,已实现盈利总额 / 已实现亏损总额绝对值；越高越好。
平均仓位%,15.75,回测期间平均持仓暴露。
换手率%,2615.82,累计成交金额 / 初始资金，越高说明交易越频繁。
期末权益,209732.29,回测结束时策略账户权益。
